74.125.11.230	r1.sn-hgn7yn7z.googlevideo.com
173.194.17.119	r1.sn-hp57knse.googlevideo.com
186.226.129.140	r1.sn-hpbuxaxjvh-8j2l.googlevideo.com
31.173.166.44	r1.sn-hxb54vo-n8me.googlevideo.com
218.189.25.140	r1.sn-ibj-i3bs.googlevideo.com
185.51.222.12	r1.sn-igpon-cbfe.googlevideo.com
185.97.111.12	r1.sn-iuigxxb-4jvl.googlevideo.com
24.119.171.12	r1.sn-j5caxvox-afne.googlevideo.com
179.6.190.76	r1.sn-ja5gv2x-jw5e.googlevideo.com
181.48.255.204	r1.sn-ja5gvjv-cb5e.googlevideo.com
200.195.190.12	r1.sn-jv2xauxaxjvh-jfcs.googlevideo.com
83.255.235.204	r1.sn-jvhixh-hhme.googlevideo.com
94.143.176.76	r1.sn-jvnhvux-5uie.googlevideo.com
195.113.214.204	r1.sn-jxnoxu-2gbe.googlevideo.com
200.79.184.12	r1.sn-mu0gcvcg-8j2l.googlevideo.com
198.70.246.204	r1.sn-n2gpou-hn2e.googlevideo.com
221.133.0.204	r1.sn-n2u-nbos.googlevideo.com
45.123.42.236	r1.sn-n2xxq-q5je.googlevideo.com
91.68.245.12	r1.sn-n4g-jqbed.googlevideo.com
77.192.211.108	r1.sn-n4g-ouxs.googlevideo.com
173.194.178.147	r1.sn-n8v7znlr.googlevideo.com
195.176.255.204	r1.sn-nfpuji-1gil.googlevideo.com
184.170.67.204	r1.sn-nixouxa-p5qe.googlevideo.com
85.194.249.204	r1.sn-njv2xn3t-cbfs.googlevideo.com
74.125.96.6	r1.sn-npoeener.googlevideo.com
62.149.104.204	r1.sn-nuj-g0iel.googlevideo.com
84.235.78.140	r1.sn-nuj-wxqs.googlevideo.com
62.149.110.12	r1.sn-nuj-wxqy.googlevideo.com
212.10.41.204	r1.sn-nuv45-caas.googlevideo.com
74.125.5.135	r1.sn-nx57ynld.googlevideo.com
78.136.92.108	r1.sn-nxg8pivnupob-n89e.googlevideo.com
200.9.26.44	r1.sn-nxg8uxjcg-j28e.googlevideo.com
191.5.198.12	r1.sn-o5u5auxaxjvh-2o1e.googlevideo.com
5.157.127.108	r1.sn-obppu-hm2l.googlevideo.com
202.51.67.12	r1.sn-oppb-cpge.googlevideo.com
110.163.42.76	r1.sn-ouuqvjvhv-ioql.googlevideo.com
41.187.114.12	r1.sn-ovvg-j5pl.googlevideo.com
131.161.229.76	r1.sn-oxubvvacg-nn5e.googlevideo.com
212.1.250.204	r1.sn-oxuctoxu-xbvl.googlevideo.com
95.82.180.140	r1.sn-oxucvm-cg9e.googlevideo.com
94.78.67.204	r1.sn-oxuiv0nxjt-opje.googlevideo.com
179.234.65.204	r1.sn-oxunxg8pjvn-gcge.googlevideo.com
189.103.27.76	r1.sn-oxunxg8pjvn-j29l7.googlevideo.com
95.180.157.76	r1.sn-oxvuxa-n32l.googlevideo.com
81.192.15.140	r1.sn-p5h-g53e.googlevideo.com
173.194.7.55	r1.sn-p5qlsnsr.googlevideo.com
173.194.53.199	r1.sn-p5qlsnzd.a1.googlevideo.com
37.75.192.44	r1.sn-pguxajvh-vb1e.googlevideo.com
168.181.22.12	r1.sn-pmcg-nn5e.googlevideo.com
177.23.197.12	r1.sn-po4voxucg-pb0e.googlevideo.com
177.66.122.204	r1.sn-pov8xcg-4vge.googlevideo.com
223.196.4.12	r1.sn-pqx5jxaa0a5g-cvhe.googlevideo.com
95.143.84.140	r1.sn-puigxxc-8pxe.googlevideo.com
74.125.3.23	r1.sn-q4fl6n7e.googlevideo.com
74.125.3.119	r1.sn-q4fl6ne7.a1.googlevideo.com
84.244.62.204	r1.sn-qnp-p3ul.googlevideo.com
203.163.193.76	r1.sn-qpbpqvhju8-u2xe.googlevideo.com
62.212.252.76	r1.sn-qxau5-btqs.googlevideo.com
220.244.136.204	r1.sn-u2bpouxgoxu-ntqk.googlevideo.com
62.24.154.204	r1.sn-u5a3u5a3-cimz.googlevideo.com
123.241.142.12	r1.sn-ucj-u2xs.googlevideo.com
188.43.66.12	r1.sn-ug5onuxaxjvh-bvwl.googlevideo.com
181.36.12.204	r1.sn-ugpjvh-ixml.googlevideo.com
200.42.246.140	r1.sn-ugpjvh-nq9l.googlevideo.com
173.194.51.215	r1.sn-un57en7e.googlevideo.com
173.194.51.231	r1.sn-un57en7l.googlevideo.com
190.58.255.108	r1.sn-unuu-2vnl.googlevideo.com
186.228.156.44	r1.sn-uphcg51pa-bpbe.googlevideo.com
186.229.98.204	r1.sn-uphcg51pa-btoe.googlevideo.com
45.116.187.204	r1.sn-uuxooxupo-cvhe.googlevideo.com
